127.0.0.1, 2011-06-04 13:40:24, GET, /base/default/index, HTTP/1.1, 404, 0.010000
127.0.0.1, 2011-06-04 13:40:24, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2011-06-04 13:40:30, GET, /base/default/index, HTTP/1.1, 404, 0.000000
127.0.0.1, 2011-06-04 13:40:30, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2011-06-04 13:40:37, GET, /admin, HTTP/1.1, 303, 0.080000
127.0.0.1, 2011-06-04 13:40:37, GET, /admin/default/site, HTTP/1.1, 200, 0.040000
127.0.0.1, 2011-06-04 13:40:39, GET, /admin/default/twitter, HTTP/1.1, 200, 1.590000
127.0.0.1, 2011-06-04 13:40:39, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2011-06-04 13:40:40, GET, /panel/default/index, HTTP/1.1, 200, 0.470000
127.0.0.1, 2011-06-04 13:40:40, GET, /panel/static/css/reset.css, HTTP/1.1, 200, 0.000000
127.0.0.1, 2011-06-04 13:40:40, GET, /panel/static/css/styles.css, HTTP/1.1, 200, 0.000000
127.0.0.1, 2011-06-04 13:40:40, GET, /panel/static/css/altlayout.css, HTTP/1.1, 200, 0.000000
127.0.0.1, 2011-06-04 13:40:40, GET, /panel/static/css/web2py.css, HTTP/1.1, 200, 0.000000
127.0.0.1, 2011-06-04 13:40:40, GET, /panel/static/css/jquery.uniform.css, HTTP/1.1, 200, 0.000000
127.0.0.1, 2011-06-04 13:40:40, GET, /panel/static/css/jquery.tipsy.css, HTTP/1.1, 200, 0.000000
127.0.0.1, 2011-06-04 13:40:40, GET, /panel/static/css/jquery.visualize.css, HTTP/1.1, 200, 0.000000
127.0.0.1, 2011-06-04 13:40:40, GET, /panel/static/js/jquery.js, HTTP/1.1, 200, 0.000000
127.0.0.1, 2011-06-04 13:40:40, GET, /panel/static/js/web2py.js, HTTP/1.1, 200, 0.000000
127.0.0.1, 2011-06-04 13:40:40, GET, /panel/static/js/jquery.superfish.js, HTTP/1.1, 200, 0.000000
127.0.0.1, 2011-06-04 13:40:40, GET, /panel/static/js/jquery.tipsy.js, HTTP/1.1, 200, 0.000000
127.0.0.1, 2011-06-04 13:40:40, GET, /panel/static/js/jquery.uniform.js, HTTP/1.1, 200, 0.000000
127.0.0.1, 2011-06-04 13:40:40, GET, /panel/static/js/base.js, HTTP/1.1, 200, 0.000000
127.0.0.1, 2011-06-04 13:40:40, GET, /panel/static/images/sidebarbg.png, HTTP/1.1, 200, 0.000000
127.0.0.1, 2011-06-04 13:40:40, GET, /panel/static/images/bg_light.png, HTTP/1.1, 200, 0.000000
127.0.0.1, 2011-06-04 13:40:40, GET, /panel/static/images/bg_sep.png, HTTP/1.1, 200, 0.000000
127.0.0.1, 2011-06-04 13:40:40, GET, /panel/static/images/separator.png, HTTP/1.1, 200, 0.000000
127.0.0.1, 2011-06-04 13:40:40, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2011-06-04 13:40:47, GET, /panel/static/images/bg_active_hover.png, HTTP/1.1, 200, 0.000000
127.0.0.1, 2011-06-04 13:41:00, GET, /panel/default/user/login, HTTP/1.1, 200, 0.030000
127.0.0.1, 2011-06-04 13:41:00, GET, /panel/static/images/bg-input.png, HTTP/1.1, 200, 0.000000
127.0.0.1, 2011-06-04 13:41:00, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
